0.194215f,-0.031197f,0.980463f,
0.208939f,0.053269f,0.976477f,
0.216943f,0.009725f,0.976136f,
0.200515f,-0.0309f,0.979203f,
0.139979f,-0.083147f,0.986657f,
0.09768f,-0.115222f,0.988525f,
0.153796f,-0.068637f,0.985716f,
0.177405f,-0.047171f,0.983007f,
0.196794f,-0.028534f,0.98003f,
0.19422f,-0.031192f,0.980462f,
0.190205f,-0.035332f,0.981108f,
0.183064f,-0.042675f,0.982174f,
0.116806f,-0.10078f,0.988028f,
0.106818f,-0.108334f,0.988359f,
0.101239f,-0.112542f,0.988476f,
0.166851f,-0.059257f,0.9842f,
0.097533f,-0.115333f,0.988527f,
0.00012f,-0.158996f,0.987279f,
0.00012f,-0.158996f,0.987279f,
0.00012f,-0.158996f,0.987279f,
0.00012f,-0.158996f,0.987279f,
0.00012f,-0.158996f,0.987279f,
0.101107f,-0.112641f,0.988478f,
0.106712f,-0.108414f,0.988362f,
0.116754f,-0.100819f,0.98803f,
0.027136f,-0.156347f,0.987329f,
0.039708f,-0.153187f,0.987399f,
0.04984f,-0.149389f,0.987522f,
0.057797f,-0.14511f,0.987726f,
0.066722f,-0.139203f,0.988014f,
0.139979f,-0.083147f,0.986657f,
0.114403f,-0.113801f,0.986895f,
0.080957f,-0.138871f,0.986996f,
0.041444f,-0.154022f,0.987198f,
0.00012f,-0.158996f,0.987279f,
0.00012f,-0.158996f,0.987279f,
0.097508f,-0.115357f,0.988527f,
0.13953f,-0.083491f,0.986692f,
